AIRPORT_4CODE,TYPE_A,TYPE_B,TYPE_C,TYPE_D,TYPE_E,time1,time2
ZGSD,45,50,50,70,70,0,1440
ZBYN,45,50,50,70,70,0,1440
ZSZS,40,45,45,65,65,0,1440
ZULS,40,45,45,65,65,0,1440
ZSGZ,40,45,45,65,65,0,1440
ZLYS,40,45,45,65,65,0,1440
ZUGU,40,45,45,65,65,0,1440
ZWKN,40,45,45,65,65,0,1440
ZGDY,40,45,45,65,65,0,1440
ZPLJ,40,45,45,65,65,0,1440
ZSLY,40,45,45,65,65,0,1440
ZPJH,40,45,45,65,65,0,1440
ZPWS,40,45,45,65,65,0,1440
ZSJJ,40,45,45,65,65,0,1440
ZBYC,40,45,45,65,65,0,1440
ZUNC,40,45,45,65,65,0,1440
ZSYW,40,45,45,65,65,0,1440
ZSJD,40,45,45,65,65,0,1440
ZWTL,40,45,45,65,65,0,1440
ZYMD,40,45,45,65,65,0,1440
KLAX,55,65,65,75,75,0,1440
RKSI,55,65,65,75,75,0,1440
VABB,55,65,65,75,75,0,1440
UHMM,55,65,65,75,75,0,1440
LTAI,55,65,65,75,75,0,1440
YSSY,55,65,65,75,75,360,1380
WAHS,55,65,65,75,75,0,1440
WABB,55,65,65,75,75,0,1440
VYMD,55,65,65,75,75,0,1440
VRMM,55,65,65,75,75,0,1440
RJNS,55,65,65,75,75,0,1440
RJGG,55,65,65,75,75,0,1440
LIRP,55,65,65,75,75,0,1440
LICJ,55,65,65,75,75,0,1440
WIPP,55,65,65,75,75,0,1440
YBBN,55,65,65,75,75,0,1440
VTCT,55,65,65,75,75,420,1500
UTTT,55,65,65,75,75,0,1440
RKTN,55,65,65,75,75,0,1440
OTBD,55,65,65,75,75,0,1440
ESSA,55,65,65,75,75,0,1440
ZUGY,50,60,60,70,70,0,1440
ZYCC,45,50,50,70,70,0,1440
ZSFZ,45,50,50,70,70,0,1440
ZBSJ,45,50,50,70,70,0,1440
ZBCF,40,45,45,65,65,0,1440
ZBHD,40,45,45,65,65,0,1440
ZUJZ,40,45,45,65,65,0,1440
ZSJG,40,45,45,65,65,0,1440
ZSGS,40,45,45,65,65,0,1440
ZBTL,40,45,45,65,65,0,1440
ZUMT,40,45,45,65,65,0,1440
ZBCD,40,45,45,65,65,0,1440
ZPBS,40,45,45,65,65,0,1440
ZPDQ,40,45,45,65,65,0,1440
ZGOW,40,45,45,65,65,0,1440
ZSRZ,40,45,45,65,65,0,1440
ZSSR,40,45,45,65,65,0,1440
ZSCG,40,45,45,65,65,0,1440
ZUGZ,40,45,45,65,65,0,1440
ZULZ,40,45,45,65,65,0,1440
EDDM,55,65,65,75,75,0,1440
OMAA,55,65,65,75,75,0,1440
OEJN,55,65,65,75,75,0,1440
UHPP,55,65,65,75,75,0,1440
UHMA,55,65,65,75,75,0,1440
YMML,55,65,65,75,75,0,1440
WBSB,55,65,65,75,75,0,1440
VIDP,55,65,65,75,75,0,1440
RKNY,55,65,65,75,75,0,1440
RJFF,55,65,65,75,75,0,1440
RJAA,55,65,65,75,75,300,1320
YBCS,55,65,65,75,75,0,1440
WIII,55,65,65,75,75,0,1440
WIDD,55,65,65,75,75,0,1440
LFBO,55,65,65,75,75,0,1440
KSAN,55,65,65,75,75,0,1440
WSSS,55,65,65,75,75,0,1440
VLVT,55,65,65,75,75,0,1440
UTSB,55,65,65,75,75,0,1440
RKTU,55,65,65,75,75,0,1440
PGUM,55,65,65,75,75,0,1440
PGSN,55,65,65,75,75,0,1440
PACD,55,65,65,75,75,0,1440
LLBG,55,65,65,75,75,0,1440
HESN,55,65,65,75,75,0,1440
EHAM,55,65,65,75,75,0,1440
ZJHK,50,60,60,70,70,0,1440
ZPPP,55,65,65,75,75,0,1440
ZSPD,55,65,65,75,75,0,1440
ZSSS,55,65,65,75,75,0,1440
ZUCK,55,65,65,75,75,0,1440
ZSJN,45,50,50,70,70,0,1440
ZLXN,40,45,45,65,65,0,1440
ZSFY,40,45,45,65,65,0,1440
ZWAT,40,45,45,65,65,0,1440
ZBLL,40,45,45,65,65,0,1440
ZSWH,40,45,45,65,65,0,1440
ZBDS,40,45,45,65,65,0,1440
ZUQJ,40,45,45,65,65,0,1440
ZUWX,40,45,45,65,65,0,1440
ZSYT,40,45,45,65,65,0,1440
ZHSN,40,45,45,65,65,0,1440
ZLIC,40,45,45,65,65,0,1440
ZSXZ,40,45,45,65,65,0,1440
ZSSH,40,45,45,65,65,0,1440
ZWAK,40,45,45,65,65,0,1440
ZGBS,40,45,45,65,65,0,1440
ZUTR,40,45,45,65,65,0,1440
ZWYN,40,45,45,65,65,0,1440
EBBR,55,65,65,75,75,0,1440
OMDW,55,65,65,75,75,0,1440
NZOH,55,65,65,75,75,0,1440
UNKL,55,65,65,75,75,0,1440
WAAA,55,65,65,75,75,0,1440
VVTS,55,65,65,75,75,0,1440
VOTV,55,65,65,75,75,0,1440
VLLB,55,65,65,75,75,0,1440
RPLL,55,65,65,75,75,0,1440
RKPC,55,65,65,75,75,300,1320
RJTT,55,65,65,75,75,0,1440
RJCC,55,65,65,75,75,0,1440
RCTP,55,65,65,75,75,0,1440
RCMQ,55,65,65,75,75,420,1380
OOMS,55,65,65,75,75,0,1440
LIPX,55,65,65,75,75,0,1440
WIHH,55,65,65,75,75,0,1440
EDDH,55,65,65,75,75,0,1440
CYVR,55,65,65,75,75,0,1440
VVDN,55,65,65,75,75,0,1440
VVCR,55,65,65,75,75,0,1440
VTSP,55,65,65,75,75,0,1440
VTSG,55,65,65,75,75,0,1440
VECC,55,65,65,75,75,0,1440
VAAH,55,65,65,75,75,0,1440
UUDD,55,65,65,75,75,0,1440
UTSS,55,65,65,75,75,0,1440
USSS,55,65,65,75,75,0,1440
URMM,55,65,65,75,75,0,1440
PWAK,55,65,65,75,75,0,1440
EFHK,55,65,65,75,75,0,1440
EDDT,55,65,65,75,75,0,1440
ZHHH,50,60,60,70,70,0,1440
ZGHA,50,60,60,70,70,0,1440
ZJSY,50,60,60,70,70,0,1440
ZBHH,45,50,50,70,70,0,1440
ZSOF,45,50,50,70,70,0,1440
ZGHZ,40,45,45,65,65,0,1440
ZUHY,40,45,45,65,65,0,1440
ZUYB,40,45,45,65,65,0,1440
ZWHM,40,45,45,65,65,0,1440
ZWKC,40,45,45,65,65,0,1440
ZLGY,40,45,45,65,65,0,1440
ZSSM,40,45,45,65,65,0,1440
ZUKD,40,45,45,65,65,0,1440
ZBSN,40,45,45,65,65,0,1440
ZLGM,40,45,45,65,65,0,1440
ZYDD,40,45,45,65,65,0,1440
ZSLO,40,45,45,65,65,0,1440
OMSJ,55,65,65,75,75,0,1440
OMDB,55,65,65,75,75,0,1440
OJAI,55,65,65,75,75,0,1440
VDPP,55,65,65,75,75,0,1440
YBTL,55,65,65,75,75,0,1440
WMKJ,55,65,65,75,75,0,1440
VYYY,55,65,65,75,75,0,1440
VYNT,55,65,65,75,75,0,1440
VIJP,55,65,65,75,75,0,1440
RPLI,55,65,65,75,75,0,1440
RJBB,55,65,65,75,75,0,1440
LIPE,55,65,65,75,75,0,1440
NZCH,55,65,65,75,75,0,1440
NZAA,55,65,65,75,75,0,1440
LTAF,55,65,65,75,75,0,1440
LSZH,55,65,65,75,75,360,1410
CYYC,55,65,65,75,75,0,1440
VTCC,55,65,65,75,75,420,1500
UWUU,55,65,65,75,75,0,1440
UUWW,55,65,65,75,75,0,1440
UUEE,55,65,65,75,75,0,1440
UTDD,55,65,65,75,75,0,1440
UNNT,55,65,65,75,75,0,1440
HESH,55,65,65,75,75,0,1440
EDHI,55,65,65,75,75,0,1440
ZSQD,50,60,60,70,70,0,1440
ZHCC,50,60,60,70,70,0,1440
ZBTJ,50,60,60,70,70,0,1440
ZBAA,55,65,65,75,75,0,1440
ZUUU,55,65,65,75,75,0,1440
ZSNB,45,50,50,70,70,0,1440
ZSWZ,45,50,50,70,70,0,1440
ZGNN,45,50,50,70,70,0,1440
ZSCN,45,50,50,70,70,0,1440
ZYTX,45,50,50,70,70,0,1440
ZHLY,40,45,45,65,65,0,1440
ZBLA,40,45,45,65,65,0,1440
ZHYC,40,45,45,65,65,0,1440
ZSYA,40,45,45,65,65,0,1440
ZLDH,40,45,45,65,65,0,1440
ZPMS,40,45,45,65,65,0,1440
ZYYJ,40,45,45,65,65,0,1440
ZGZJ,40,45,45,65,65,0,1440
KPDX,55,65,65,75,75,0,1440
VTBS,55,65,65,75,75,0,1440
OERK,55,65,65,75,75,0,1440
VANP,55,65,65,75,75,0,1440
ULLI,55,65,65,75,75,0,1440
LTBA,55,65,65,75,75,0,1440
YMAV,55,65,65,75,75,0,1440
WSAP,55,65,65,75,75,0,1440
VHHH,55,65,65,75,75,0,1440
UAKK,55,65,65,75,75,0,1440
RPVK,55,65,65,75,75,0,1440
RPLB,55,65,65,75,75,0,1440
LIPZ,55,65,65,75,75,0,1440
YSCB,55,65,65,75,75,0,1440
YPDN,55,65,65,75,75,0,1440
LFLL,55,65,65,75,75,0,1440
KSJC,55,65,65,75,75,0,1440
YBAS,55,65,65,75,75,0,1440
UWWW,55,65,65,75,75,0,1440
PANC,55,65,65,75,75,0,1440
HELX,55,65,65,75,75,0,1440
EPWA,55,65,65,75,75,0,1440
ZYHB,50,60,60,70,70,0,1440
ZWWW,50,60,60,70,70,0,1440
ZGSZ,55,65,65,75,75,0,1440
ZPSM,40,45,45,65,65,0,1440
ZPTC,40,45,45,65,65,0,1440
ZUXC,40,45,45,65,65,0,1440
ZSWY,40,45,45,65,65,0,1440
ZJQH,40,45,45,65,65,0,1440
ZUBD,40,45,45,65,65,0,1440
ZYYK,40,45,45,65,65,0,1440
ZYAS,40,45,45,65,65,0,1440
ZBUL,40,45,45,65,65,0,1440
ZYQQ,40,45,45,65,65,0,1440
EDDB,55,65,65,75,75,0,1440
KOAK,55,65,65,75,75,0,1440
OEMA,55,65,65,75,75,0,1440
LTFJ,55,65,65,75,75,0,1440
VGHS,55,65,65,75,75,0,1440
VCBI,55,65,65,75,75,0,1440
UHWW,55,65,65,75,75,0,1440
WMKK,55,65,65,75,75,0,1440
WARR,55,65,65,75,75,0,1440
WAHQ,55,65,65,75,75,0,1440
WADD,55,65,65,75,75,0,1440
VIAR,55,65,65,75,75,0,1440
UACC,55,65,65,75,75,0,1440
RPVM,55,65,65,75,75,0,1440
RJFU,55,65,65,75,75,0,1440
LKMT,55,65,65,75,75,0,1440
LIMC,55,65,65,75,75,0,1440
LFPG,55,65,65,75,75,0,1440
KSEA,55,65,65,75,75,0,1440
VVCI,55,65,65,75,75,0,1440
VNKT,55,65,65,75,75,0,1440
RKPK,55,65,65,75,75,0,1440
HECA,55,65,65,75,75,0,1440
ZLXY,55,65,65,75,75,0,1440
ZGGG,55,65,65,75,75,0,1440
ZPDL,40,45,45,65,65,0,1440
ZUNZ,40,45,45,65,65,0,1440
ZSJH,40,45,45,65,65,0,1440
ZSDY,40,45,45,65,65,0,1440
ZLJQ,40,45,45,65,65,0,1440
ZHXF,40,45,45,65,65,0,1440
ZLYL,40,45,45,65,65,0,1440
ZLZW,40,45,45,65,65,0,1440
ZUBZ,40,45,45,65,65,0,1440
ZWKL,40,45,45,65,65,0,1440
ZSTX,40,45,45,65,65,0,1440
ZSQZ,40,45,45,65,65,0,1440
ZUZH,40,45,45,65,65,0,1440
ZWTN,40,45,45,65,65,0,1440
ZYDQ,40,45,45,65,65,0,1440
ZSWX,40,45,45,65,65,0,1440
ZSYC,40,45,45,65,65,0,1440
EDDF,55,65,65,75,75,0,1440
OMAL,55,65,65,75,75,0,1440
LTFM,55,65,65,75,75,0,1440
YPAD,55,65,65,75,75,0,1440
LTBJ,55,65,65,75,75,0,1440
VOMM,55,65,65,75,75,0,1440
VOHS,55,65,65,75,75,0,1440
UHHH,55,65,65,75,75,0,1440
RPMD,55,65,65,75,75,0,1440
RKJB,55,65,65,75,75,0,1440
RJSS,55,65,65,75,75,0,1440
RCSS,55,65,65,75,75,360,1380
LKPR,55,65,65,75,75,0,1440
LIMF,55,65,65,75,75,0,1440
VVNB,55,65,65,75,75,0,1440
LCLK,55,65,65,75,75,0,1440
VTSM,55,65,65,75,75,0,1440
VTSB,55,65,65,75,75,0,1440
VTBU,55,65,65,75,75,0,1440
VDSV,55,65,65,75,75,420,1500
UTAA,55,65,65,75,75,0,1440
RCKH,55,65,65,75,75,390,1440
PMDY,55,65,65,75,75,0,1440
KPHX,55,65,65,75,75,0,1440
HEGN,55,65,65,75,75,0,1440
ENGM,55,65,65,75,75,0,1440
EDDV,55,65,65,75,75,0,1440
ZSAM,50,60,60,70,70,0,1440
ZSHC,55,65,65,75,75,0,1440
ZLLL,45,50,50,70,70,0,1440
ZYTL,45,50,50,70,70,0,1440
ZBMZ,40,45,45,65,65,0,1440
ZUMY,40,45,45,65,65,0,1440
ZGBH,40,45,45,65,65,0,1440
ZSLG,40,45,45,65,65,0,1440
ZLXH,40,45,45,65,65,0,1440
ZSNT,40,45,45,65,65,0,1440
ZUDX,40,45,45,65,65,0,1440
ZBDT,40,45,45,65,65,0,1440
ZGKL,40,45,45,65,65,0,1440
ZWKM,40,45,45,65,65,0,1440
ZBOW,40,45,45,65,65,0,1440
ZBUH,40,45,45,65,65,0,1440
ZWSH,40,45,45,65,65,0,1440
ZPZT,40,45,45,65,65,0,1440
ZUDC,40,45,45,65,65,0,1440
ZYHE,40,45,45,65,65,0,1440
CYEG,55,65,65,75,75,0,1440
RKSS,55,65,65,75,75,0,1440
OJAQ,55,65,65,75,75,0,1440
OEDF,55,65,65,75,75,0,1440
UNAA,55,65,65,75,75,0,1440
WMKP,55,65,65,75,75,0,1440
RPLC,55,65,65,75,75,0,1440
PASY,55,65,65,75,75,0,1440
LTAC,55,65,65,75,75,0,1440
LSGG,55,65,65,75,75,0,1440
LOWW,55,65,65,75,75,0,1440
LOWL,55,65,65,75,75,0,1440
LIRF,55,65,65,75,75,0,1440
KSFO,55,65,65,75,75,0,1440
VTSS,55,65,65,75,75,420,1500
VDSR,55,65,65,75,75,0,1440
UWKD,55,65,65,75,75,0,1440
USCC,55,65,65,75,75,0,1440
PHNL,55,65,65,75,75,0,1440
PAFA,55,65,65,75,75,0,1440
KLAS,55,65,65,75,75,0,1440
EKCH,55,65,65,75,75,0,1440
ZSNJ,50,60,60,70,70,0,1440
